Player_id,Player,Match,Inns,NO,Runs,HS,Avg,Balls,SR,100s,50s,4s,6s,Ct,St,C/M,6/I,Country,Player of the series,Top Scorer,Highest Wickets,any_trophy
54,Finn Allem,16,16,0,91,18,5.69,74,122.97,0,0,8,7,9,0,0.563,0.438,NZL,0,0,0,No
55,Ashwin,200,120,27,522,32,5.61,546,95.6,0,0,56,14,98,,0.49,0.117,IND,2,1,1,Yes
56,Rabada,58,24,11,63,12,4.85,89,70.78,0,0,4,1,19,0,0.328,0.042,SAF,0,0,0,No
57,Head,30,30,1,272,26,9.38,163,166.78,0,0,36,16,11,,0.367,0.533,AUS,0,0,0,No
58,Markram,39,36,3,281,35,8.5,196,143.36,0,0,34,16,5,,0.128,0.444,SAF,0,0,0,No
59,Adil Rashid,101,50,15,240,20,6.86,224,107.14,0,0,35,3,30,,0.297,0.06,ENG,1,0,2,Yes
60,Zampa,52,28,13,48,10,3.2,66,72.72,0,0,7,0,20,,0.385,0,AUS,0,0,1,Yes
61,Bhuvneshwar Kumar,46,26,18,52,14,6.5,75,69.33,0,0,5,1,11,,,0.038,,,,,
62,Kuldeep Yadav,49,20,10,35,13,3.5,58,60.34,0,0,4,0,12,,,0,,,,,
63,Ishan Kishan,42,40,5,367,47,10.49,250,146.8,0,0,56,11,38,,,0.275,,,,,
